sku,current_name,new_name,new_unit,new_pack_size,flag,current_unit,current_pack_size
CLN-001,MASK 50 PIECES (PER BOX),MASK,box,50,,box,
CLN-002,TISSUE BOX,TISSUE,,,,box,
CLN-003,HAND SANITIZER,HAND SANITISER,,,spelling,bottle,
CLN-004,TABLE CLEANING SPRAY,CLEANING SPRAY - TABLE,,,,bottle,
CLN-005,HARPIC,TOILET CLEANER - HARPIC,,,wording,bottle,
CLN-006,DETTOL BOTTLE,ANTISEPTIC LIQUID - DETTOL,,,check,bottle,
CLN-007,AIR FRESHNER - GLADE,AIR FRESHENER - GLADE,,,spelling,can,
CLN-008,DETTOL FLOOR CLEANER,FLOOR CLEANER - DETTOL,,,,bottle,
CLN-009,DETTOL DISINFECTANT,DISINFECTANT - DETTOL,,,,bottle,
PAN-001,PLASTIC GLASS (EACH PACKET HAS 50PCS),CUP - PLASTIC,packet,50,wording,packet,
PPR-001,A4 ream (per ream),PAPER - A4,,,,ream,5
PPR-002,A3 paper (per ream),PAPER - A3,,,,ream,5
PPR-003,LAMINATION POUCH A3 (EACH BOX HAS 100 POUCHES),LAMINATION POUCH - A3,box,100,,box,
PPR-004,LAMINATION POUCH A4 (EACH BOX HAS 100 POUCHES),LAMINATION POUCH - A4,box,100,,box,
PPR-005,LAMINATION POUCH A5 (EACH BOX HAS 100 POUCHES),LAMINATION POUCH - A5,box,100,,box,
PPR-006,LAMINATION POUCH A8 (EACH BOX HAS 100 POUCHES),LAMINATION POUCH - A8,box,100,,box,
PPR-007,BLACK CARDBOARD,CARDBOARD - BLACK,,,,sheet,
PPR-008,CLEAR COVER,COVER - CLEAR,,,,pc,
PPR-009,A4 SHEET PROTECTOR (100 PIECES IN EACH PACKET),SHEET PROTECTOR - A4,packet,100,,packet,
PPR-010,PAPER DIVIDER,DIVIDER - PAPER,,,,pc,
PPR-011,A4 WRITING PAD,WRITING PAD - A4,,,,pad,
PPR-012,A4 HARD CARD CASE,CARD CASE - HARD - A4,,,,pc,
PPR-013,A3 CLEAR SHEET,SHEET - CLEAR - A3,,,,sheet,
STA-001,RED PEN 0.7MM,PEN - RED - 0.7MM,,,,pc,12
STA-002,BLUE PEN 0.7MM,PEN - BLUE - 0.7MM,,,,pc,12
STA-003,BLACK PEN 0.7MM,PEN - BLACK - 0.7MM,,,,pc,12
STA-004,GREEN PEN 0.7MM,PEN - GREEN - 0.7MM,,,,pc,12
STA-030,REDLEAF PURPLE SUPER BALL PEN,PEN - BALLPOINT - PURPLE - REDLEAF,,,check,pc,
STA-031,GSOFT RED PEN,PEN - RED - GSOFT,,,,pc,
STA-032,UBIBALL GEL STICK,PEN - GEL - UBIBALL,,,check,pc,
STA-028,BLACK REFILL 0.5MM,PEN REFILL - BLACK - 0.5MM,,,,pc,
STA-023,BLACK REFILL 0.7MM,PEN REFILL - BLACK - 0.7MM,,,,pc,
STA-025,BLUE REFILL 0.5MM,PEN REFILL - BLUE - 0.5MM,,,,pc,
STA-024,BLUE REFILL 0.7MM,PEN REFILL - BLUE - 0.7MM,,,,pc,
STA-027,GREEN REFILL 0.5 MM,PEN REFILL - GREEN - 0.5MM,,,,pc,
STA-021,GREEN REFILL 0.7MM,PEN REFILL - GREEN - 0.7MM,,,,pc,
STA-026,PURPLE REFILL 0.5MM,PEN REFILL - PURPLE - 0.5MM,,,,pc,
STA-022,PURPLR REFILL 0.7MM,PEN REFILL - PURPLE - 0.7MM,,,spelling,pc,
STA-038,WHITEBOARD MARKER REFILL MIX,MARKER REFILL - WHITEBOARD - MIXED,,,,pc,
STA-005,PENCIL BLUE BOX,PENCIL - BLUE,box,10,,box,10
STA-075,STABILO RED SCHWAN PENCIL (12 PIECES IN EACH BOX),PENCIL - RED - STABILO SCHWAN,box,12,,box,
STA-017,MECHANICAL PENCIL 0.5MM,PENCIL - MECHANICAL - 0.5MM,,,,pc,
STA-064,MECHANICAL PENCIL 0.7MM,PENCIL - MECHANICAL - 0.7MM,,,,pc,
STA-018,PENCIL LEADS 0.5 MM PILOT 2B,PENCIL LEAD - 2B - 0.5MM - PILOT,,,,tube,
STA-019,PENCIL LEADS 0.7MM STEIN 2B,PENCIL LEAD - 2B - 0.7MM - STEIN,,,,tube,
STA-067,HIGHLIGHTER BLUE,HIGHLIGHTER - BLUE,,,,pc,
STA-068,HIGHLIGHTER GREEN,HIGHLIGHTER - GREEN,,,,pc,
STA-071,HIGHLIGHTER LAVENDER,HIGHLIGHTER - LAVENDER,,,,pc,
STA-069,HIGHLIGHTER LILIAC,HIGHLIGHTER - LILAC,,,spelling,pc,
STA-072,HIGHLIGHTER ORANGE,HIGHLIGHTER - ORANGE,,,,pc,
STA-070,HIGHLIGHTER PINK,HIGHLIGHTER - PINK,,,,pc,
STA-066,HIGHLIGHTER RED,HIGHLIGHTER - RED,,,,pc,
STA-073,HIGHLIGHTER TURQUOISE,HIGHLIGHTER - TURQUOISE,,,,pc,
STA-065,HIGHLIGHTER YELLOW,HIGHLIGHTER - YELLOW,,,,pc,
STA-074,"HIGHLIGHTER MIX (PINK, GREEN, YELLOW, ORANGE)",HIGHLIGHTER - MIXED,,,wording,pack,
STA-007,CORRECTION TAPE,TAPE - CORRECTION,,,,pc,10
STA-077,DOUBLE SIDED TAPE 18MMX 15M,TAPE - DOUBLE SIDED - 18MM X 15M,,,,roll,
STA-061,BLACK COLOR DUCT TAPE,TAPE - DUCT - BLACK,,,,roll,
STA-062,BLUE COLOR DUCT TAPE,TAPE - DUCT - BLUE,,,,roll,
STA-060,GREEN COLOR DUCT TAPE,TAPE - DUCT - GREEN,,,,roll,
STA-058,GREY COLOR DUCT TAPE,TAPE - DUCT - GREY,,,,roll,
STA-057,RED COLOR DUCT TAPE,TAPE - DUCT - RED,,,,roll,
STA-059,YELLOW COLOR DUCT TAPE,TAPE - DUCT - YELLOW,,,,roll,
STA-076,TRANSPARENT TAPE (SELOTAPE) 18MM X 25M,TAPE - TRANSPARENT - 18MM X 25M,,,,roll,
STA-043,TAPE CUTTER,TAPE CUTTER,,,check,pc,
STA-011,BINDER CLIPS (15MM),CLIP - BINDER - 15MM,,,,box,
STA-012,BINDER CLIPS (19MM),CLIP - BINDER - 19MM,,,,box,
STA-013,BINDER CLIPS (25 MM),CLIP - BINDER - 25MM,,,,box,
STA-014,BINDER CLIPS (32 MM),CLIP - BINDER - 32MM,,,,box,
STA-015,BINDER CLIPS (41MM),CLIP - BINDER - 41MM,,,,box,
STA-016,BINDER CLIPS (51MM),CLIP - BINDER - 51MM,,,,box,
STA-010,TRIANGLE CLIPS (25 MM),CLIP - TRIANGLE - 25MM,,,,box,
STA-050,5MM STAPLE,STAPLE PINS - 5MM,box,,check,box,
STA-051,6.3 MM STAPLE,STAPLE PINS - 6.3MM,box,,check,box,
STA-047,STAPLE PINS 23 /10 EACH BOX HAS 100),STAPLE PINS - 23/10,box,100,spelling,box,
STA-049,STAPLE PINS 23/13 (EACH BOX HAS 100),STAPLE PINS - 23/13,box,100,,box,
STA-048,STAPLE PINS 23/17 (EACH BOX HAS 100),STAPLE PINS - 23/17,box,100,,box,
STA-045,STAPLE PINS 24/6 (EACH BOX HAS 100),STAPLE PINS - 24/6,box,100,,box,
STA-046,HEAVY DUTY STAPLE EACH BOX HAS 100),STAPLE PINS - HEAVY DUTY,box,100,spelling,box,
STA-080,L-SHAPE A4 FOLDER 12 PIECES BLUE,FOLDER - L-SHAPE - BLUE - A4,pack,12,,pack,10
STA-081,L-SHAPE A4 FOLDER 12 PIECES GREEN,FOLDER - L-SHAPE - GREEN - A4,pack,12,,pack,
STA-083,L-SHAPE A4 FOLDER 12 PIECES ORANGE,FOLDER - L-SHAPE - ORANGE - A4,pack,12,,pack,
STA-078,L-SHAPE A4 FOLDER 12 PIECES PINK,FOLDER - L-SHAPE - PINK - A4,pack,12,,pack,
STA-082,L-SHAPE A4 FOLDER 12 PIECES PURPLE,FOLDER - L-SHAPE - PURPLE - A4,pack,12,,pack,
STA-079,L-SHAPE A4 FOLDER 12 PIECES RED,FOLDER - L-SHAPE - RED - A4,pack,12,,pack,10
STA-085,L-SHAPE A4 FOLDER 12 PIECES WHITE,FOLDER - L-SHAPE - WHITE - A4,pack,12,,pack,
STA-084,L-SHAPE A4 FOLDER 12 PIECES YELLOW,FOLDER - L-SHAPE - YELLOW - A4,pack,12,,pack,
STA-036,PLASTIC RULER LARGE,RULER - PLASTIC - LARGE,,,,pc,
STA-039,PLASTIC RULER SMALL,RULER - PLASTIC - SMALL,,,,pc,
STA-035,STEEL RULLER LARGE,RULER - STEEL - LARGE,,,spelling,pc,
STA-063,GLUE STICK LIQUID,GLUE - LIQUID,,,check,pc,
STA-034,GLUE STICK,GLUE - STICK,,,,pc,12
STA-008,ERASER,ERASER,,,,pc,20
STA-033,CLIC ERASER,ERASER - CLIC,,,,pc,
STA-055,PEN HOLDER BIG,PEN HOLDER - LARGE,,,wording,pc,
STA-054,PEN HOLDER SMALL,PEN HOLDER - SMALL,,,,pc,
STA-044,PUNCHING MACHINE CARL,PAPER PUNCH - CARL,,,check,pc,
STA-041,PAPER PUNCH D TYPE,PAPER PUNCH - D TYPE,,,,pc,
STA-020,BLUE TACK 45 GRAM,BLUE TACK - 45G,,,,pc,
STA-053,Color cord,CORD - COLOURED,,,check,pc,
STA-056,CORD RING,CORD RING,,,,pc,
STA-040,LIGHTER FLUID,LIGHTER FLUID,,,,can,
