sku,name,category,unit,pack_size,level8_qty,basement_qty,reorder_point,par_level,max_per_checkout,requires_approval,notes
PPR-001,A4 ream (per ream),Printing & Paper,ream,5,225,,20,250,,false,Box (5 Reams)
PPR-002,A3 paper (per ream),Printing & Paper,ream,5,250,,20,250,,false,Box (5 Reams)
STA-001,RED PEN 0.7MM,Stationery,pc,12,168,,20,168,,false,Box (12 Pens)
STA-002,BLUE PEN 0.7MM,Stationery,pc,12,192,,20,192,,false,Box (12 Pens)
STA-003,BLACK PEN 0.7MM,Stationery,pc,12,12,,3,12,,false,Box (12 Pens)
STA-004,GREEN PEN 0.7MM,Stationery,pc,12,226,,20,227,,false,Box (12 Pens)
STA-005,PENCIL BLUE BOX,Stationery,box,10,73,,10,73,,false,Carton (10 Boxes)
STA-006,SCISSOR,Stationery,pc,,10,,3,10,,false,
STA-007,CORRECTION TAPE,Stationery,pc,10,177,,20,259,,false,Pack of 10
STA-008,ERASER,Stationery,pc,20,32,,3,32,,false,Box (20 Pcs)
STA-009,SHARPENER WITH CONTAINER,Stationery,pc,,11,,3,12,,false,
STA-010,TRIANGLE CLIPS (25 MM),Stationery,box,,100,,20,100,,false,
STA-011,BINDER CLIPS (15MM),Stationery,box,,60,,10,60,,false,
STA-012,BINDER CLIPS (19MM),Stationery,box,,54,,10,60,,false,
STA-013,BINDER CLIPS (25 MM),Stationery,box,,120,,20,120,,false,
STA-014,BINDER CLIPS (32 MM),Stationery,box,,204,,20,204,,false,
STA-015,BINDER CLIPS (41MM),Stationery,box,,60,,10,60,,false,
STA-016,BINDER CLIPS (51MM),Stationery,box,,60,,10,60,,false,
TCH-001,EXERCISE BOOK,Teaching Materials,book,10,370,,20,470,,false,Bundle (10 Books)
STA-017,MECHANICAL PENCIL 0.5MM,Stationery,pc,,23,,3,23,,false,
STA-018,PENCIL LEADS 0.5 MM PILOT 2B,Stationery,tube,,41,,3,42,,false,
STA-019,PENCIL LEADS 0.7MM STEIN 2B,Stationery,tube,,23,,3,23,,false,
STA-020,BLUE TACK 45 GRAM,Stationery,pc,,13,,3,13,,false,
PPR-003,LAMINATION POUCH A3 (EACH BOX HAS 100 POUCHES),Printing & Paper,box,,6,,1,6,,false,
TCH-002,GEOMETRY SET,Teaching Materials,set,,11,,3,11,,false,
STA-021,GREEN REFILL 0.7MM,Stationery,pc,,107,,20,107,,false,
STA-022,PURPLR REFILL 0.7MM,Stationery,pc,,28,,3,28,,false,
STA-023,BLACK REFILL 0.7MM,Stationery,pc,,11,,3,11,,false,
STA-024,BLUE REFILL 0.7MM,Stationery,pc,,3,,1,3,,false,
STA-025,BLUE REFILL 0.5MM,Stationery,pc,,40,,3,40,,false,
STA-026,PURPLE REFILL 0.5MM,Stationery,pc,,400,,20,400,,false,
STA-027,GREEN REFILL 0.5 MM,Stationery,pc,,390,,20,390,,false,
STA-028,BLACK REFILL 0.5MM,Stationery,pc,,10,,3,10,,false,
